train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,learning_rate
0.04063225389708666,0.025429305174263617,0.41763207553256315,0.5240813274835926,0.06904779358875068,0.10361958061246263,0.0005
0.02452999937133945,0.020697352987192556,0.45081431149901285,0.5666589683855777,0.21722684681869686,0.26931917491868196,0.0005
0.020941159329428978,0.01960778282103921,0.5193004575233549,0.5746244926366904,0.2752769059108427,0.35048383147257384,0.0005
0.018420688642324864,0.018441305512131898,0.5570867006812825,0.5815036859638212,0.2970527308900073,0.2718519820396766,0.0005
0.016873348013198005,0.016070662491446078,0.5864010473260495,0.6370050891860652,0.31530898513191674,0.3612321715842014,0.0005
0.016145277729799914,0.01625120127682344,0.6017401544021854,0.6460129115574466,0.33027899417506157,0.2940130117236051,0.0005
0.015301824556461271,0.01488258019874438,0.6176253752945204,0.6493370128297786,0.3431817379243371,0.3803981282037145,0.0005
0.014138104625681767,0.013914811678887057,0.6364478331097294,0.676538458835471,0.3623098167592672,0.36831634736532765,0.0005
0.013891551081711584,0.015234457979622184,0.6454635270409533,0.6627003988092542,0.36323017924243794,0.33104548005694456,0.0005
0.013661088228343604,0.014016801189537388,0.6488753422734099,0.6678753258553702,0.37537823368997014,0.34783649965308133,0.0005
0.013023739447249948,0.015728104013034597,0.6566004492474055,0.5909557036368582,0.38009430533946353,0.18569481035302526,0.0005
0.012756062772768856,0.014172895653301033,0.6635755709158266,0.6781380001355112,0.3859552042928165,0.35335959170208225,0.0005
0.011314222521666147,0.012616213239593001,0.6945898368193241,0.665183586066471,0.42181341482232615,0.44080666895976744,0.00025
0.010812497405424124,0.014027726300140703,0.703305361030689,0.6429402709018938,0.4301348563673852,0.2727350124881426,0.00025
0.010610591646074976,0.012726679858915391,0.7064632893292431,0.6899777470986513,0.434120590880067,0.3802620151759963,0.00025
0.010443841902034482,0.01378189890662518,0.7127389866158955,0.6800541314433431,0.44829196513124,0.3310643139687558,0.00025
0.010111243328266637,0.012416974901128018,0.7195478934194671,0.7239880815034023,0.4589778513598361,0.4388639778095936,0.00025
0.00992080202900522,0.012565858449968928,0.7274407130426763,0.705479716583613,0.4719529411482077,0.41993891740949696,0.00025
0.009943551851429018,0.013346169369140189,0.7259289143376042,0.6872959142573775,0.471394272586049,0.38644222564471475,0.00025
0.00948160717952759,0.013530658181546761,0.7373833648678422,0.6937410078435723,0.4856542053983589,0.41005406820552015,0.00025
0.009425015033886265,0.013349518326948232,0.7354290530111903,0.7191652752862264,0.48588398966646607,0.4180495640399327,0.00025
0.00864305703504727,0.011993141424178922,0.7591474465632284,0.7274149165274665,0.5103201241493159,0.43306165067223373,0.000125
0.008500424835497934,0.011832271737972588,0.7640359471794803,0.7317733423146199,0.5184913358849363,0.4675111601552544,0.000125
0.00821428485765139,0.012758815369444483,0.7652427023879083,0.7199865970656816,0.5214451801600173,0.43426751629684496,0.000125
0.008085925976788201,0.012799012324889109,0.7686612963381825,0.7320980515721182,0.5264022889304318,0.45388132915831714,0.000125
